state,location1,roster_link,CountyWebPage,ManualSearch,Webpagesherifforcounty,Search,Notes,facilityname,location,searchhowisrostersearched,notesanythinghelpfultosearcher,webpagewhererosterisfoundsherrif,location2,countyorganization,manualsearch,listingof24hourbookings,newspaperwebsite
Alabama,morgan,97.82.20.116/jailinmates.aspx,,,,,,,,,,,,,,,
Indiana,boone,https://jailtracker.com/jtclientweb/(S(3pzyks554uc0me455r2cab55))/jailtracker/index/Boone_County_IN,,,,,,,,,,,,,,,
Indiana,laporte,https://omsweb.public-safety-cloud.com/jtclientweb/(S(ye1qeu2jkpaoajbvw1wej053))/jailtracker/index/Laporte_County_IN,,,,,,,,,,,,,,,
Indiana,pulaski,http://www.jailtracker.com/pcdc/pulaski_inmatelist.html,,,,,,,,,,,,,,,
Indiana,st joseph,https://omsweb.public-safety-cloud.com/jtclientweb/(S(epjr1pdpgygsvp0g1l4wnmo3))/jailtracker/index/StJoseph_County_IN,,,,,,,,,,,,,,,
California,kings,http://inmatelocator.countyofkings.com/Inmate/Index,,,,,,,,,,,,,,,
Colorado,araphoe,https://www.inmateaid.com/inmate-profile-search,,,,,,,,,,,,,,,
Georgia,effingham,http://interopweb.com/effinghamsojailpop/CurrentInmates.aspx,,,,,,,,,,,,,,,
Georgia,habersham,http://www.interopweb.com/habersham/,,,,,,,,,,,,,,,
Georgia,lamar,http://www.interopweb.com/lamarso/,,,,,,,,,,,,,,,
Georgia,liberty,http://interopweb.com/libertyjailpop/,,,,,,,,,,,,,,,
Georgia,madison,http://interopweb.com/madisonjailpop/CurrentInmates.aspx,,,,,,,,,,,,,,,
Georgia,rabun,http://www.interopweb.com/rabun/jailpop/,,,,,,,,,,,,,,,
Georgia,twiggs,interopweb.com/twiggsjailpop/,,,,,,,,,,,,,,,
Georgia,whitfield,http://www.whitfieldcountyga.com/p2c/jailinmates.aspx,,,,,,,,,,,,,,,
Florida,clay,http://p2c.claysheriff.com/jailinmates.aspx,,,,,,,,,,,,,,,
Kentucky,campbell,https://omsweb.public-safety-cloud.com/jtclientweb/(S(31ewypcmplc5womnljnvgc4f))/jailtracker/index/Campbell_County_KY,,,,,,,,,,,,,,,
Kentucky,grant,https://jailtracker.com/jtclientweb/(S(bmo4v045x5rj0445uschve55))/jailtracker/index/Grant_County_Ky,,,,,,,,,,,,,,,
Michigan,muskegon,http://www.mcd911.net/p2c/jailinmates.aspx,,,,,,,,,,,,,,,
North Carolina,cabarrus,http://onlineservices.cabarruscounty.us/p2c/jailinmates.aspx,,,,,,,,,,,,,,,
North Carolina,new hannover,http://p2c.nhcgov.com/p2c/jailinmates.aspx,,,,,,,,,,,,,,,
South Carolina,horry,http://p2c.cityofmyrtlebeach.com/p2c/jailinmates.aspx,,,,,,,,,,,,,,,
Tennessee,carter,https://jailtracker.com/jtclientweb/(S(3bgmmz55ppvt4tjcmldqt5vo))/jailtracker/index/Carter_County_TN/,,,,,,,,,,,,,,,
Texas,pearland,https://p2c.pearlandtx.gov/jailinmates.aspx,,,,,,,,,,,,,,,
Texas,webster,http://p2c.websterpd.com/jailinmates.aspx,,,,,,,,,,,,,,,
Texas,mansfield,http://p2c.mansfieldtexas.gov/jailinmates.aspx,,,,,,,,,,,,,,,
Wyoming,sweet water,https://jailtracker.com/JTClientWeb/(S(e153van4bcp02n454wiyaw45))/jailtracker/Index/sweetwater_county_wy,,,,,,,,,,,,,,,
Louisiana,tangipahoa ,https://vinelink.com/#/search,,,https://www.tpso.org/,must search by name on vine,the county sheriff page links to Vine,,,,,,,,,,
New York,Orleans County ,https://www.inmateaid.com/prisons/ny-doc-albion-correctional-facility,,,,,,Albion Correctional Facility ,Orleans County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,http://www.orleanscountyny.gov/Sheriff,,,,,
New York,Jefferson County ,https://www.inmateaid.com/prisons/ny-doc-cape-vincent-correctional-facility,,,,,,Cape Vincent Correctional Facility,Jefferson County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party,http://www.co.jefferson.ny.us/index.aspx?page=114,,,,,
New York,Erie County ,https://www.inmateaid.com/inmate-locator/ny-doc-collins-correctional-facility,,,,,,Collins Correctional Facility ,Erie County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unknown how accurate or up to date it is. ,http://www2.erie.gov/sheriff/ Inmate look up on Sherriff’s website linked to VINE. ,,,,,
New York,Greene County ,https://www.inmateaid.com/prisons/ny-doc-coxsackie-correctional-facility,,,,,,Coxsackie Correctional Facility,Greene County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,https://www.greenegovernment.com/departments/sheriff ,,,,,
New York,New York City ,https://www.inmateaid.com/prisons/ny-doc-edgecombe-residential-treatment-facility,,,,,,Edgecomb Residential Treatment Facility,New York City ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,https://www.ny.gov/counties/new-york Can’t find a Sheriff’s page for the County. New York City: http://www1.nyc.gov/nyc-resources/categories/public-safety/corrections/index.page,,,,,
New York,Seneca County ,https://www.inmateaid.com/prisons/ny-doc-five-points-correctional-facility,,,,,,Five Points Correctional Facility,Seneca County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,http://sheriff.co.seneca.ny.us/division_corrections.php,,,,,
New York,St. Lawrence County ,https://www.inmateaid.com/prisons/ny-doc-gouverneur-correctional-facility,,,,,,Gouverneur Correctional Facility,St. Lawrence County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,https://www.stlawco.org/Departments/Sheriff/CorrectionalDivision/,,,,,
New York,Erie County ,https://www.inmateaid.com/prisons/ny-doc-gowanda-correctional-facility,,,,,,Gowanda Correctional Facility ,Erie County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unknown how current or accurate,Inmate look up on Sherriff’s website linked to VINE.  http://www2.erie.gov/sheriff/,,,,,
New York,,https://www.inmateaid.com/prisons/ny-doc-coxsackie-correctional-facility,,,,,,Greene Correctional Facility,,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unknown how current or accurate,https://www.greenegovernment.com/departments/sheriff,,,,,
New York,Livingston County,https://www.inmateaid.com/prisons/ny-doc-groveland-correctional-facility,,,,,,Groveland Correctional Facility,Livingston County,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party,http://www.co.livingston.state.ny.us/247/Corrections,,,,,
New York,Fulton County ,https://www.inmateaid.com/prisons/ny-doc-hale-creek-asactc,,,,,,Hale Creek ASACTC,Fulton County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unknown how current or accurate,Fulton Sheriff’s page: http://www.fultoncountyny.gov/node/35 ,,,,,
New York,Columbia County ,https://www.inmateaid.com/prisons/columbia-county-ny-jail,,,,,,Hudson Correctional Facility ,Columbia County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unknown how current or accurate ,Sherriff’s site is useless: http://chenangosheriff.us/corrections-division.html,,,,,
New York,New York City ,https://www.inmateaid.com/prisons/ny-doc-lincoln-correctional-facility,,,,,,Lincoln Correctional Facility,New York City ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,Here is New York City: http://www1.nyc.gov/nyc-resources/categories/public-safety/corrections/index.page,,,,,
New York,Livingston County,https://www.inmateaid.com/prisons/ny-doc-livingston-correctional-facility,,,,,,Livingston Correctional Facility,Livingston County,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,http://www.co.livingston.state.ny.us/247/Corrections,,,,,
New York,Onieda County ,https://www.inmateaid.com/prisons/ny-doc-marcy-correctional-facility,,,,,,Marcy Correctional Facility,Onieda County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,"""",,,,,
New York,Onieda County ,https://www.inmateaid.com/prisons/ny-doc-mid-state-correctional-facility,,,,,,Mid-State Correctional Facility,Onieda County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,"""",,,,,
New York,Onieda County ,https://www.inmateaid.com/prisons/ny-doc-mohawk-correctional-facility,,,,,,Mohawk Correctional Facility ,Onieda County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,"""",,,,,
New York,St. Lawrence County ,https://www.inmateaid.com/prisons/ny-doc-ogdensburg-correctional-facility,,,,,,Ogdensburg Correctional Facility,St. Lawrence County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,https://www.stlawco.org/Departments/Sheriff/CorrectionalDivision/,,,,,
New York,Orleans County ,https://www.inmateaid.com/prisons/ny-doc-orleans-correctional-facility,,,,,,Orleans Correctional,Orleans County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,http://orleansny.com/Sheriff,,,,,
New York,Orange County ,https://www.inmateaid.com/prisons/ny-doc-otisville-correctional-facility,,,,,,Otisville Correctional Facility,Orange County ,"Using third party site à Scroll to “use facility inmate locator” button, search by first initial of late name (free search)",Unsure about how current or accurate because it is a third party.,https://www.orangecountygov.com/797/Sheriffs-Office,,,,,
